g_whoregion,Sex,variable,mid,tv,value,lo,hi,region
Global,Both,BMI < 17 kg/m²,0.941981703779948,3.03457440413801e-05,0.0580182962200522,0.0472212498503562,0.0688153425897482,Global
Global,Both,BMI < 18.5 kg/m²,0.887299662636449,8.85590776747192e-05,0.112700337363551,0.0942555941342402,0.131145080592862,Global
Global,Men,BMI < 17 kg/m²,0.947601820939438,2.6200265763601e-05,0.052398179060562,0.0423656848065168,0.0624306733146072,Global
Global,Men,BMI < 18.5 kg/m²,0.894204117985217,8.07706913578266e-05,0.105795882014783,0.0881808688748436,0.123410895154722,Global
Global,Women,BMI < 17 kg/m²,0.932655532489053,4.41887079583667e-05,0.0673444675109471,0.0543154483424578,0.0803734866794364,Global
Global,Women,BMI < 18.5 kg/m²,0.875842226532252,0.000116794537537126,0.124157773467748,0.102975755258838,0.145339791676659,Global
