g_whoregion,Sex,variable,mid,tv,value,lo,hi,region
Global,Both,BMI < 17 kg/m²,0.854242310872367,0.00010244604292184,0.145757689127633,0.125919425128771,0.165595953126495,Global
Global,Both,BMI < 18.5 kg/m²,0.763038528798172,0.000208356713917553,0.236961471201828,0.20866972059877,0.265253221804887,Global
Global,Men,BMI < 17 kg/m²,0.865600620580006,9.21515866576173e-05,0.134399379419994,0.115584238301631,0.153214520538356,Global
Global,Men,BMI < 18.5 kg/m²,0.77484982335731,0.000195055346018437,0.22515017664269,0.19777638228998,0.252523970995399,Global
Global,Women,BMI < 17 kg/m²,0.835394030862834,0.000140330777582735,0.164605969137166,0.141387555858868,0.187824382415464,Global
Global,Women,BMI < 18.5 kg/m²,0.743438553726532,0.000259735286840569,0.256561446273468,0.224973488474225,0.288149404072711,Global
