g_whoregion,Sex,PAF17,PAF18.5,p17,p18.5,RR17,RR18.5
AFR,Both,0.149140580614294,0.239623432780658,0.0861337502603512,0.178139290341182,3.03500116249311,2.7690529943993
AFR,Men,0.144582026887371,0.24029468852108,0.101370577124023,0.211672519497565,2.66733942288263,2.49428875862931
AFR,Women,0.156321290799003,0.238566059495069,0.0712644506152562,0.145414915584209,3.59996859108215,3.15460404235267
AMR,Both,0.0428013038046861,0.0815148383619013,0.0148627837104398,0.035478362603802,4.00853274281698,3.50150260263778
AMR,Men,0.0370082682815084,0.0738100573776857,0.0131527772603344,0.0333303683109672,3.92185553922612,3.39097684024311
AMR,Women,0.0538301383225926,0.0961832715402739,0.0164985340602594,0.0375330814124348,4.44834752595312,3.83533872027912
EMR,Both,0.125531337020187,0.193347989351251,0.0484961084645484,0.0906826442981176,3.96006340073671,3.64319536369142
EMR,Men,0.119491122133635,0.186418675474961,0.0534323286870167,0.0988631617639593,3.53978993861643,3.31768255231129
EMR,Women,0.133519940854624,0.202512488370213,0.0433310455212638,0.0821228787861601,4.5562181217597,4.09217278994547
EUR,Both,0.0258802523468639,0.0560494679309687,0.0134986791625983,0.0367751141688492,2.96818031533907,2.61461219739667
EUR,Men,0.0155680201110044,0.0385939898787385,0.00822305433444571,0.0251434661808723,2.92315598350856,2.59656902118035
EUR,Women,0.0464580702107297,0.09088146549174,0.0183574382555633,0.0474876605057616,3.65405118925691,3.10510632016956
Global,Both,0.127338802983734,0.207319309206798,0.0482137502898177,0.101600601015137,4.02652442662737,3.57421725403597
Global,Men,0.118764153551494,0.199402118661225,0.0481076621398589,0.102644433075585,3.8014248111896,3.42649796576426
Global,Women,0.141567803393345,0.220457304923841,0.0483191951898509,0.100563098077175,4.4130197658979,3.81219831280489
SEA,Both,0.148414003226872,0.237103788286115,0.0858221663184887,0.166617536800069,3.03070526794784,2.86531561057863
SEA,Men,0.138699242103367,0.22857571190554,0.0855836650908286,0.170720219027886,2.8816046494006,2.73560867992059
SEA,Women,0.163510825453714,0.250356492229905,0.0860672891014254,0.162400951019555,3.27116173281826,3.05643745671922
WPR,Both,0.0766393371714195,0.141168972283572,0.0276846160936026,0.0716549289690457,3.99807067055569,3.29395797299626
WPR,Men,0.0727569114789796,0.136084300276656,0.0210646818948662,0.0578880759389279,4.72499543702199,3.72111905328077
WPR,Women,0.085361383979395,0.152591920399199,0.0343610947581001,0.085539372193632,3.71609478863659,3.10510072005249
