counterfactual_type,counterfactual_top,BMI < 17 kg/m²_Men,BMI < 17 kg/m²_Women,BMI < 17 kg/m²_Both,BMI < 18.5 kg/m²_Men,BMI < 18.5 kg/m²_Women,BMI < 18.5 kg/m²_Both
A,Not applicable,"  804,000 (558,000 to 1,050,000)","  594,000 (417,000 to 770,000)","1,400,000 (1,070,000 to 1,730,000)","1,350,000 (1,020,000 to 1,670,000)","  925,000 (702,000 to 1,150,000)","2,270,000 (1,840,000 to 2,710,000)"
B,halfway to 25 kg/m²,"  557,000 (353,000 to 761,000)","  407,000 (259,000 to 556,000)","  965,000 (691,000 to 1,240,000)","  964,000 (687,000 to 1,240,000)","  653,000 (462,000 to 845,000)","1,620,000 (1,250,000 to 1,990,000)"
B,25 kg/m²,"  711,000 (480,000 to 942,000)","  511,000 (344,000 to 677,000)","1,220,000 (912,000 to 1,530,000)","1,190,000 (885,000 to 1,500,000)","  795,000 (584,000 to 1,010,000)","1,990,000 (1,580,000 to 2,400,000)"
C,halfway to 25 kg/m²,"  613,000 (398,000 to 828,000)","  430,000 (278,000 to 583,000)","1,040,000 (757,000 to 1,330,000)","  917,000 (648,000 to 1,190,000)","  595,000 (415,000 to 775,000)","1,510,000 (1,160,000 to 1,870,000)"
C,25 kg/m²,"  889,000 (630,000 to 1,150,000)","  625,000 (440,000 to 809,000)","1,510,000 (1,170,000 to 1,860,000)","1,400,000 (1,060,000 to 1,730,000)","  907,000 (682,000 to 1,130,000)","2,300,000 (1,860,000 to 2,750,000)"
D,Not applicable,"  490,000 (300,000 to 680,000)","  373,000 (232,000 to 515,000)","  863,000 (607,000 to 1,120,000)","  964,000 (688,000 to 1,240,000)","  670,000 (476,000 to 864,000)","1,630,000 (1,260,000 to 2,010,000)"
