g_whoregion,Sex,variable,mid,tv,value,lo,hi,region
Global,Both,BMI < 17 kg/m²,0.872619962324807,9.21503726114097e-05,0.127380037675193,0.10856502049678,0.146195054853607,Global
Global,Both,BMI < 18.5 kg/m²,0.792647078574684,0.000193438600795646,0.207352921425316,0.180092809011451,0.234613033839181,Global
Global,Men,BMI < 17 kg/m²,0.881223475397535,8.3964930931706e-05,0.118776524602466,0.100816578091765,0.136736471113167,Global
Global,Men,BMI < 18.5 kg/m²,0.800600051634461,0.00018281130638572,0.199399948365539,0.172899233005168,0.225900663725909,Global
Global,Women,BMI < 17 kg/m²,0.858343064825579,0.000127823794135257,0.141656935174421,0.119497334827167,0.163816535521674,Global
Global,Women,BMI < 18.5 kg/m²,0.779449704405692,0.00024511433378911,0.220550295594308,0.189864285350481,0.251236305838135,Global
