g_whoregion,Sex,variable,mid,tv,value,lo,hi,region
Global,Both,BMI < 17 kg/m²,0.899445657561209,7.04537953810175e-05,0.100554342438791,0.0841027376436436,0.117005947233938,Global
Global,Both,BMI < 18.5 kg/m²,0.831355768287329,0.000156695333618835,0.168644231712671,0.144109342399081,0.193179121026261,Global
Global,Men,BMI < 17 kg/m²,0.906878687157718,6.34946751451035e-05,0.0931213128422817,0.0775033378122904,0.108739287872273,Global
Global,Men,BMI < 18.5 kg/m²,0.838858952025775,0.000146959983766442,0.161141047974225,0.137380545588182,0.184901550360268,Global
Global,Women,BMI < 17 kg/m²,0.887111091348426,9.70784428075846e-05,0.112888908651575,0.0935773435702659,0.132200473732883,Global
Global,Women,BMI < 18.5 kg/m²,0.818904786433041,0.000198106160370801,0.181095213566959,0.153508176290722,0.208682250843195,Global
