region,Sex,age,variable,value
Western Pacific,Men,30-34,BMI < 18.5 kg/m²,0.0412380666301446
Western Pacific,Men,35-39,BMI < 18.5 kg/m²,0.0310043387884943
Western Pacific,Men,40-44,BMI < 18.5 kg/m²,0.0297727505298422
Western Pacific,Men,45-49,BMI < 18.5 kg/m²,0.0254003800832646
Western Pacific,Men,50-54,BMI < 18.5 kg/m²,0.0243483198124698
Western Pacific,Men,55-59,BMI < 18.5 kg/m²,0.0263252792690703
Western Pacific,Men,60-64,BMI < 18.5 kg/m²,0.031606602955389
Western Pacific,Men,65-69,BMI < 18.5 kg/m²,0.0366327157899837
Western Pacific,Men,70-74,BMI < 18.5 kg/m²,0.0445233319444665
Western Pacific,Men,75-79,BMI < 18.5 kg/m²,0.0557722408481683
Western Pacific,Men,80-84,BMI < 18.5 kg/m²,0.0729175132930933
Western Pacific,Men,85plus,BMI < 18.5 kg/m²,0.10579485196096
Western Pacific,Women,15-19,BMI < 18.5 kg/m²,0.187783592835932
Western Pacific,Women,20-24,BMI < 18.5 kg/m²,0.210799266585672
Western Pacific,Women,25-29,BMI < 18.5 kg/m²,0.153298933795228
Western Pacific,Women,30-34,BMI < 18.5 kg/m²,0.106061797109055
Western Pacific,Women,35-39,BMI < 18.5 kg/m²,0.0745463955777113
Western Pacific,Women,40-44,BMI < 18.5 kg/m²,0.0560390388118197
Western Pacific,Women,45-49,BMI < 18.5 kg/m²,0.0458822837469208
Western Pacific,Women,50-54,BMI < 18.5 kg/m²,0.0382093256405504
Western Pacific,Women,55-59,BMI < 18.5 kg/m²,0.0358329316423118
Western Pacific,Women,60-64,BMI < 18.5 kg/m²,0.0380186155410871
Western Pacific,Women,65-69,BMI < 18.5 kg/m²,0.0407468273814795
Western Pacific,Women,70-74,BMI < 18.5 kg/m²,0.0491996997179356
Western Pacific,Women,75-79,BMI < 18.5 kg/m²,0.0642103396490165
Western Pacific,Women,80-84,BMI < 18.5 kg/m²,0.0921361029891745
Western Pacific,Women,85plus,BMI < 18.5 kg/m²,0.170081371770706
