region,Sex,age,variable,value
Eastern Mediterranean,Women,35-39,BMI < 17 kg/m²,0.0167087574899806
Eastern Mediterranean,Women,40-44,BMI < 17 kg/m²,0.012325216786787
Eastern Mediterranean,Women,45-49,BMI < 17 kg/m²,0.0107353787022988
Eastern Mediterranean,Women,50-54,BMI < 17 kg/m²,0.0112186304820911
Eastern Mediterranean,Women,55-59,BMI < 17 kg/m²,0.0132710340739697
Eastern Mediterranean,Women,60-64,BMI < 17 kg/m²,0.0165673842344074
Eastern Mediterranean,Women,65-69,BMI < 17 kg/m²,0.0206939012712136
Eastern Mediterranean,Women,70-74,BMI < 17 kg/m²,0.0259615244822476
Eastern Mediterranean,Women,75-79,BMI < 17 kg/m²,0.0338647027410198
Eastern Mediterranean,Women,80-84,BMI < 17 kg/m²,0.0460053957902653
Eastern Mediterranean,Women,85plus,BMI < 17 kg/m²,0.0727556648616252
Europe,Men,15-19,BMI < 17 kg/m²,0.0567892081816408
Europe,Men,20-24,BMI < 17 kg/m²,0.0244836573057365
Europe,Men,25-29,BMI < 17 kg/m²,0.00954785131263156
Europe,Men,30-34,BMI < 17 kg/m²,0.00436664905225151
Europe,Men,35-39,BMI < 17 kg/m²,0.00249298126537118
Europe,Men,40-44,BMI < 17 kg/m²,0.00173936683041727
Europe,Men,45-49,BMI < 17 kg/m²,0.00140012906396351
Europe,Men,50-54,BMI < 17 kg/m²,0.00127024976791867
Europe,Men,55-59,BMI < 17 kg/m²,0.00118094209779941
Europe,Men,60-64,BMI < 17 kg/m²,0.00116593527782482
Europe,Men,65-69,BMI < 17 kg/m²,0.00108282106336033
Europe,Men,70-74,BMI < 17 kg/m²,0.00104681712235983
Europe,Men,75-79,BMI < 17 kg/m²,0.00108008785321544
Europe,Men,80-84,BMI < 17 kg/m²,0.00148772789526913
Europe,Men,85plus,BMI < 17 kg/m²,0.0031301423769843
Europe,Women,15-19,BMI < 17 kg/m²,0.0470284333264174
Europe,Women,20-24,BMI < 17 kg/m²,0.0635362214333203
Europe,Women,25-29,BMI < 17 kg/m²,0.0418654176135525
Europe,Women,30-34,BMI < 17 kg/m²,0.0282162360340258
Europe,Women,35-39,BMI < 17 kg/m²,0.018455093974775
Europe,Women,40-44,BMI < 17 kg/m²,0.0121872490085791
Europe,Women,45-49,BMI < 17 kg/m²,0.00857403781653254
Europe,Women,50-54,BMI < 17 kg/m²,0.00666791685615021
Europe,Women,55-59,BMI < 17 kg/m²,0.00542904268641785
Europe,Women,60-64,BMI < 17 kg/m²,0.00448172575264368
Europe,Women,65-69,BMI < 17 kg/m²,0.00412780388583228
Europe,Women,70-74,BMI < 17 kg/m²,0.0043311255941136
Europe,Women,75-79,BMI < 17 kg/m²,0.00531780578959871
Europe,Women,80-84,BMI < 17 kg/m²,0.00662913823656942
Europe,Women,85plus,BMI < 17 kg/m²,0.0150688828254392
Global,Men,15-19,BMI < 17 kg/m²,0.167977122846096
Global,Men,20-24,BMI < 17 kg/m²,0.0752697454229968
Global,Men,25-29,BMI < 17 kg/m²,0.042882829982895
Global,Men,30-34,BMI < 17 kg/m²,0.0283026978779666
Global,Men,35-39,BMI < 17 kg/m²,0.0231224798023042
Global,Men,40-44,BMI < 17 kg/m²,0.0222159909674017
Global,Men,45-49,BMI < 17 kg/m²,0.0219222625118588
Global,Men,50-54,BMI < 17 kg/m²,0.0216289379935766
Global,Men,55-59,BMI < 17 kg/m²,0.0228888416866869
Global,Men,60-64,BMI < 17 kg/m²,0.0263635786936712
Global,Men,65-69,BMI < 17 kg/m²,0.0286710544850783
Global,Men,70-74,BMI < 17 kg/m²,0.0322946050368334
Global,Men,75-79,BMI < 17 kg/m²,0.0373195433747787
Global,Men,80-84,BMI < 17 kg/m²,0.0431583088710476
Global,Men,85plus,BMI < 17 kg/m²,0.0490815866385181
Global,Women,15-19,BMI < 17 kg/m²,0.10972113075601
Global,Women,20-24,BMI < 17 kg/m²,0.0968482960747354
Global,Women,25-29,BMI < 17 kg/m²,0.063448796998256
Global,Women,30-34,BMI < 17 kg/m²,0.0428286820408068
Global,Women,35-39,BMI < 17 kg/m²,0.0313078937265145
Global,Women,40-44,BMI < 17 kg/m²,0.0255455120211158
Global,Women,45-49,BMI < 17 kg/m²,0.0233261869250573
Global,Women,50-54,BMI < 17 kg/m²,0.0220605340877202
Global,Women,55-59,BMI < 17 kg/m²,0.023000150925447
Global,Women,60-64,BMI < 17 kg/m²,0.0264734516752993
Global,Women,65-69,BMI < 17 kg/m²,0.0291014401145509
Global,Women,70-74,BMI < 17 kg/m²,0.0333193742275613
Global,Women,75-79,BMI < 17 kg/m²,0.0405387089868685
Global,Women,80-84,BMI < 17 kg/m²,0.0492314700205506
Global,Women,85plus,BMI < 17 kg/m²,0.0706952534606238
South-East Asia,Men,15-19,BMI < 17 kg/m²,0.247690532147992
South-East Asia,Men,20-24,BMI < 17 kg/m²,0.11747761610617
South-East Asia,Men,25-29,BMI < 17 kg/m²,0.0687894739933687
South-East Asia,Men,30-34,BMI < 17 kg/m²,0.0478211531578739
South-East Asia,Men,35-39,BMI < 17 kg/m²,0.0397216502678697
South-East Asia,Men,40-44,BMI < 17 kg/m²,0.0382192499774437
South-East Asia,Men,45-49,BMI < 17 kg/m²,0.0404055451595344
South-East Asia,Men,50-54,BMI < 17 kg/m²,0.0454045158044826
South-East Asia,Men,55-59,BMI < 17 kg/m²,0.0525868172907473
South-East Asia,Men,60-64,BMI < 17 kg/m²,0.0631214651424656
South-East Asia,Men,65-69,BMI < 17 kg/m²,0.0778734439913296
South-East Asia,Men,70-74,BMI < 17 kg/m²,0.0971019163381954
South-East Asia,Men,75-79,BMI < 17 kg/m²,0.12348224693814
South-East Asia,Men,80-84,BMI < 17 kg/m²,0.156232418777011
South-East Asia,Men,85plus,BMI < 17 kg/m²,0.191015295177302
South-East Asia,Women,15-19,BMI < 17 kg/m²,0.199241356494071
South-East Asia,Women,20-24,BMI < 17 kg/m²,0.145732271555545
South-East Asia,Women,25-29,BMI < 17 kg/m²,0.0896415907752717
South-East Asia,Women,30-34,BMI < 17 kg/m²,0.0594880394165059
South-East Asia,Women,35-39,BMI < 17 kg/m²,0.0448139462097221
South-East Asia,Women,40-44,BMI < 17 kg/m²,0.0383046594797025
South-East Asia,Women,45-49,BMI < 17 kg/m²,0.03790501073281
South-East Asia,Women,50-54,BMI < 17 kg/m²,0.0415144675660587
South-East Asia,Women,55-59,BMI < 17 kg/m²,0.0490299975512008
South-East Asia,Women,60-64,BMI < 17 kg/m²,0.0606529651033795
South-East Asia,Women,65-69,BMI < 17 kg/m²,0.0761254589024101
South-East Asia,Women,70-74,BMI < 17 kg/m²,0.095783610122089
South-East Asia,Women,75-79,BMI < 17 kg/m²,0.120217148552186
South-East Asia,Women,80-84,BMI < 17 kg/m²,0.152629676883499
South-East Asia,Women,85plus,BMI < 17 kg/m²,0.208242682806753
Western Pacific,Men,15-19,BMI < 17 kg/m²,0.0968036907558987
Western Pacific,Men,20-24,BMI < 17 kg/m²,0.0494937545357681
Western Pacific,Men,25-29,BMI < 17 kg/m²,0.0246669189264748
Western Pacific,Men,30-34,BMI < 17 kg/m²,0.0136150193980253
Western Pacific,Men,35-39,BMI < 17 kg/m²,0.00929792919299558
Western Pacific,Men,40-44,BMI < 17 kg/m²,0.00869027794975394
Western Pacific,Men,45-49,BMI < 17 kg/m²,0.00693587217871062
Western Pacific,Men,50-54,BMI < 17 kg/m²,0.00637263434933415
Western Pacific,Men,55-59,BMI < 17 kg/m²,0.00691333414338383
Western Pacific,Men,60-64,BMI < 17 kg/m²,0.00879634838578973
Western Pacific,Men,65-69,BMI < 17 kg/m²,0.0104292390357858
Western Pacific,Men,70-74,BMI < 17 kg/m²,0.0132574372931825
Western Pacific,Men,75-79,BMI < 17 kg/m²,0.0176479755695708
Western Pacific,Men,80-84,BMI < 17 kg/m²,0.0247676391619811
Western Pacific,Men,85plus,BMI < 17 kg/m²,0.0392519245798486
Western Pacific,Women,15-19,BMI < 17 kg/m²,0.0701996739223981
Western Pacific,Women,20-24,BMI < 17 kg/m²,0.104567672434072
Western Pacific,Women,25-29,BMI < 17 kg/m²,0.0708939209252131
Western Pacific,Women,30-34,BMI < 17 kg/m²,0.0441960896182822
Western Pacific,Women,35-39,BMI < 17 kg/m²,0.0280271416404926
Western Pacific,Women,40-44,BMI < 17 kg/m²,0.0194506625502496
Western Pacific,Women,45-49,BMI < 17 kg/m²,0.0150287475120293
Western Pacific,Women,50-54,BMI < 17 kg/m²,0.0116732751892975
Western Pacific,Women,55-59,BMI < 17 kg/m²,0.0106688980237506
Western Pacific,Women,60-64,BMI < 17 kg/m²,0.0116225003641121
Western Pacific,Women,65-69,BMI < 17 kg/m²,0.0127236675914233
Western Pacific,Women,70-74,BMI < 17 kg/m²,0.0162917331377327
Western Pacific,Women,75-79,BMI < 17 kg/m²,0.0231409438865504
Western Pacific,Women,80-84,BMI < 17 kg/m²,0.0371691374598661
Western Pacific,Women,85plus,BMI < 17 kg/m²,0.0832043796274023
Africa,Men,15-19,BMI < 18.5 kg/m²,0.431782531420469
Africa,Men,20-24,BMI < 18.5 kg/m²,0.200567188605245
Africa,Men,25-29,BMI < 18.5 kg/m²,0.156211460347889
Africa,Men,30-34,BMI < 18.5 kg/m²,0.137254822269263
Africa,Men,35-39,BMI < 18.5 kg/m²,0.133263048783768
Africa,Men,40-44,BMI < 18.5 kg/m²,0.138152064870724
Africa,Men,45-49,BMI < 18.5 kg/m²,0.148835589300756
Africa,Men,50-54,BMI < 18.5 kg/m²,0.16007368785436
Africa,Men,55-59,BMI < 18.5 kg/m²,0.170100011679228
Africa,Men,60-64,BMI < 18.5 kg/m²,0.181606480103363
Africa,Men,65-69,BMI < 18.5 kg/m²,0.190926569578967
Africa,Men,70-74,BMI < 18.5 kg/m²,0.201927881143381
Africa,Men,75-79,BMI < 18.5 kg/m²,0.219386661567394
Africa,Men,80-84,BMI < 18.5 kg/m²,0.237212709759345
Africa,Men,85plus,BMI < 18.5 kg/m²,0.259960414407181
Africa,Women,15-19,BMI < 18.5 kg/m²,0.213166680703431
Africa,Women,20-24,BMI < 18.5 kg/m²,0.157171896530878
Africa,Women,25-29,BMI < 18.5 kg/m²,0.132027844605318
Africa,Women,30-34,BMI < 18.5 kg/m²,0.115352695471395
Africa,Women,35-39,BMI < 18.5 kg/m²,0.106241173825723
Africa,Women,40-44,BMI < 18.5 kg/m²,0.104868087400844
Africa,Women,45-49,BMI < 18.5 kg/m²,0.110898467631761
Africa,Women,50-54,BMI < 18.5 kg/m²,0.117783843107742
Africa,Women,55-59,BMI < 18.5 kg/m²,0.127700956831821
Africa,Women,60-64,BMI < 18.5 kg/m²,0.143773322008849
Africa,Women,65-69,BMI < 18.5 kg/m²,0.162200155079825
Africa,Women,70-74,BMI < 18.5 kg/m²,0.185959293053067
Africa,Women,75-79,BMI < 18.5 kg/m²,0.218632530929903
Africa,Women,80-84,BMI < 18.5 kg/m²,0.253037245829089
Africa,Women,85plus,BMI < 18.5 kg/m²,0.288083957962548
The Americas,Men,15-19,BMI < 18.5 kg/m²,0.128210019090342
The Americas,Men,20-24,BMI < 18.5 kg/m²,0.0722525349583898
The Americas,Men,25-29,BMI < 18.5 kg/m²,0.0374205820657619
The Americas,Men,30-34,BMI < 18.5 kg/m²,0.0221440127635883
The Americas,Men,35-39,BMI < 18.5 kg/m²,0.0155656730726288
The Americas,Men,40-44,BMI < 18.5 kg/m²,0.0125536762400383
The Americas,Men,45-49,BMI < 18.5 kg/m²,0.0114127921839815
The Americas,Men,50-54,BMI < 18.5 kg/m²,0.0112753283983202
The Americas,Men,55-59,BMI < 18.5 kg/m²,0.0117212184971994
The Americas,Men,60-64,BMI < 18.5 kg/m²,0.0118714400270046
The Americas,Men,65-69,BMI < 18.5 kg/m²,0.0120266704654607
The Americas,Men,70-74,BMI < 18.5 kg/m²,0.0127638262611101
The Americas,Men,75-79,BMI < 18.5 kg/m²,0.0144150122759817
The Americas,Men,80-84,BMI < 18.5 kg/m²,0.0182969073362618
The Americas,Men,85plus,BMI < 18.5 kg/m²,0.0245818233488699
The Americas,Women,15-19,BMI < 18.5 kg/m²,0.100843246573056
The Americas,Women,20-24,BMI < 18.5 kg/m²,0.0870060112966473
The Americas,Women,25-29,BMI < 18.5 kg/m²,0.0523108839886399
The Americas,Women,30-34,BMI < 18.5 kg/m²,0.033692047271379
The Americas,Women,35-39,BMI < 18.5 kg/m²,0.0239833734095603
